accelX       ; accelY       ; accelZ       ; totalAccel   ; gyroX        ; gyroY        ; gyroZ        ; totalGyro   
-0.25452     ; 0.95483      ; 0.31628      ; 1.03756      ; -17.15179    ; 3.66364      ; -7.48428     ; 18.73794    
-0.23987     ; 0.96289      ; 0.28864      ; 1.03344      ; -17.27890    ; 2.39258      ; -8.64319     ; 19.34405    
-0.22845     ; 0.95966      ; 0.25769      ; 1.01958      ; -17.60040    ; 2.08603      ; -9.40582     ; 19.97910    
-0.15411     ; 0.99609      ; 0.20990      ; 1.02957      ; -21.35376    ; 7.81326      ; -7.37961     ; 22.61490    
-0.15613     ; 0.97375      ; 0.24829      ; 1.01697      ; -18.99857    ; 14.68445     ; 1.32339      ; 19.06948    
-0.23883     ; 0.91406      ; 0.29199      ; 0.98884      ; -19.61914    ; 23.37250     ; 2.69165      ; 19.82401    
-0.22961     ; 0.87567      ; 0.31659      ; 0.95904      ; -11.40961    ; 12.31430     ; -4.68048     ; 12.36337    
-0.14618     ; 1.01831      ; 0.35614      ; 1.08865      ; -15.56671    ; -5.29358     ; -23.08090    ; 27.85835    
-0.24475     ; 0.96924      ; 0.32373      ; 1.05077      ; -3.18512     ; -18.33313    ; -17.92191    ; 18.22853    
-0.23944     ; 0.96985      ; 0.27795      ; 1.03692      ; 20.42664     ; -20.92758    ; -8.37402     ; 22.09779    
-0.27350     ; 0.92047      ; 0.25842      ; 0.99441      ; 12.44888     ; -19.88831    ; -4.92722     ; 13.42011    
-0.29846     ; 0.92279      ; 0.26770      ; 1.00612      ; 14.19846     ; -13.94424    ; -6.08612     ; 15.47542    
-0.25354     ; 0.93939      ; 0.30493      ; 1.01967      ; -20.78552    ; -10.27313    ; -18.36304    ; 27.75106    
-0.22736     ; 0.93823      ; 0.32324      ; 1.01806      ; -27.20810    ; -7.17773     ; -23.41736    ; 35.91008    
-0.25409     ; 0.98029      ; 0.34320      ; 1.06926      ; -22.37061    ; -2.22809     ; -29.37637    ; 36.93747    
-0.25299     ; 0.99701      ; 0.33954      ; 1.08320      ; -5.05432     ; -6.94595     ; -29.92966    ; 30.36980    
-0.30432     ; 1.02112      ; 0.31030      ; 1.10977      ; 18.66211     ; -5.09171     ; -28.20251    ; 33.83340    
-0.31732     ; 0.96527      ; 0.32117      ; 1.06564      ; 7.79831      ; -9.45816     ; -29.88480    ; 30.90059    
-0.28809     ; 0.96436      ; 0.39661      ; 1.08179      ; -28.29224    ; -24.36691    ; -34.90173    ; 44.93898    
-0.26770     ; 0.96301      ; 0.41937      ; 1.08394      ; -22.15378    ; -37.39899    ; -39.29062    ; 45.11618    
-0.21820     ; 0.96600      ; 0.39996      ; 1.06806      ; -11.00586    ; -50.42358    ; -45.53375    ; 46.85493    
-0.21558     ; 0.99677      ; 0.34564      ; 1.07679      ; -2.96082     ; -60.56961    ; -42.21405    ; 42.32949    
-0.33099     ; 0.96417      ; 0.31494      ; 1.06695      ; 4.24683      ; -54.88724    ; -36.98776    ; 37.24325    
-0.35486     ; 1.03961      ; 0.23810      ; 1.12401      ; 20.72571     ; -51.80679    ; -35.23819    ; 40.89457    
-0.30127     ; 0.95538      ; 0.33289      ; 1.05562      ; -2.77390     ; -46.07208    ; -25.79498    ; 25.96129    
-0.30859     ; 0.95575      ; 0.36444      ; 1.06841      ; -5.54031     ; -40.48691    ; -24.64355    ; 25.27674    
-0.28619     ; 0.99670      ; 0.37457      ; 1.10256      ; -4.15710     ; -22.13135    ; -30.49789    ; 30.79605    
-0.28723     ; 0.98633      ; 0.33002      ; 1.07901      ; 18.58734     ; -8.85254     ; -27.30530    ; 33.04605    
-0.32721     ; 0.95081      ; 0.35718      ; 1.06709      ; 23.76877     ; -10.60959    ; -17.96677    ; 29.81045    
-0.36157     ; 0.92505      ; 0.40845      ; 1.07391      ; 25.66040     ; -12.85263    ; -12.32178    ; 28.48049    
-0.42694     ; 0.89600      ; 0.46484      ; 1.09598      ; 21.79489     ; -16.45645    ; -7.21512     ; 22.97560    
-0.49402     ; 0.91467      ; 0.44891      ; 1.13234      ; 11.34979     ; -21.95938    ; -6.06369     ; 12.90049    
-0.48755     ; 0.91547      ; 0.50903      ; 1.15538      ; -5.79453     ; -19.70886    ; -11.55167    ; 12.95591    
-0.47156     ; 0.89154      ; 0.48853      ; 1.12066      ; -2.90848     ; -20.95749    ; -19.41727    ; 19.65412    
-0.43311     ; 0.88019      ; 0.47070      ; 1.08806      ; 1.54022      ; -32.64374    ; -22.66968    ; 22.73898    
-0.43488     ; 0.90527      ; 0.36761      ; 1.06948      ; 3.27484      ; -41.48132    ; -22.96875    ; 23.21869    
-0.50281     ; 0.85767      ; 0.29865      ; 1.03807      ; 4.03748      ; -48.41232    ; -16.63589    ; 17.14030    
-0.56085     ; 0.81049      ; 0.25555      ; 1.01821      ; 2.08603      ; -43.67203    ; -8.62823     ; 8.91374     
-0.60022     ; 0.83704      ; 0.20636      ; 1.05047      ; 2.40753      ; -31.55960    ; -8.19458     ; 8.58184     
-0.64166     ; 0.86182      ; 0.18732      ; 1.09066      ; -0.99442     ; -18.30322    ; -6.81885     ; 6.94466     
-0.63458     ; 0.88593      ; 0.15192      ; 1.10029      ; 10.28809     ; -4.54590     ; -6.57211     ; 12.24019    
-0.61707     ; 0.90479      ; 0.23621      ; 1.12036      ; 9.90677      ; 3.50662      ; -7.91046     ; 12.70976    
-0.63141     ; 0.91760      ; 0.25696      ; 1.14311      ; 6.66183      ; 10.81146     ; -7.00577     ; 9.71096     
-0.63190     ; 0.90063      ; 0.23053      ; 1.12409      ; 6.55716      ; 12.35168     ; -9.39835     ; 11.49506    
-0.57349     ; 0.99414      ; 0.01074      ; 1.14774      ; -3.82065     ; 12.81525     ; -10.54977    ; 11.26425    
-0.83899     ; 0.47760      ; 0.69928      ; 1.19206      ; -61.59393    ; 52.65167     ; 9.58527      ; 62.33713    
-0.64343     ; 0.95953      ; 0.03540      ; 1.15584      ; 66.23703     ; 19.47708     ; -20.12756    ; 69.23427    
-0.65936     ; 0.96002      ; 0.27045      ; 1.19563      ; 24.01550     ; 13.17413     ; -40.61401    ; 47.19284    
-0.50885     ; 1.01086      ; 0.18915      ; 1.14741      ; 13.85452     ; 12.40402     ; -48.84598    ; 50.78286    
-0.45996     ; 0.98468      ; 0.23706      ; 1.11237      ; 15.41718     ; 9.42078      ; -58.76022    ; 60.75708    
-0.35590     ; 0.96295      ; 0.21649      ; 1.04919      ; 13.02460     ; 8.68805      ; -57.81067    ; 59.26754    
-0.33899     ; 0.95966      ; 0.19263      ; 1.03584      ; 13.42834     ; 11.85074     ; -58.78265    ; 60.30458    
-0.30701     ; 0.94293      ; 0.20520      ; 1.01266      ; 9.96658      ; 20.96497     ; -51.77689    ; 52.73583    
-0.29742     ; 0.92596      ; 0.22595      ; 0.99846      ; 6.51230      ; 27.84363     ; -44.77859    ; 45.25914    
-0.28204     ; 0.90302      ; 0.29279      ; 0.99031      ; 2.72156      ; 30.71472     ; -41.95236    ; 42.05024    
-0.26697     ; 0.87488      ; 0.30090      ; 0.96293      ; -3.97018     ; 30.49789     ; -39.05884    ; 39.26984    
-0.26874     ; 0.86829      ; 0.28485      ; 0.95251      ; -7.41699     ; 25.83984     ; -45.59357    ; 46.20107    
-0.25183     ; 0.85895      ; 0.25623      ; 0.93105      ; -7.73102     ; 21.27151     ; -50.01236    ; 50.61366    
-0.23029     ; 0.85620      ; 0.25427      ; 0.92237      ; -4.68048     ; 14.07135     ; -50.01984    ; 50.24564    
-0.19745     ; 0.90204      ; 0.19116      ; 0.94298      ; 9.03198      ; 2.71408      ; -48.43475    ; 49.27794    
-0.21729     ; 0.94843      ; 0.24579      ; 1.00356      ; 6.27304      ; -1.09161     ; -45.89264    ; 46.32909    
-0.18835     ; 0.98645      ; 0.25116      ; 1.03520      ; 8.61328      ; -13.60779    ; -41.95984    ; 42.84612    
-0.14050     ; 1.03131      ; 0.21954      ; 1.06374      ; 16.65833     ; -18.72940    ; -43.22342    ; 46.33387    
-0.08264     ; 1.07147      ; 0.22675      ; 1.09832      ; 10.55725     ; -10.64697    ; -37.70554    ; 39.17028    
-0.08002     ; 1.09912      ; 0.21912      ; 1.12360      ; 3.10287      ; 0.83740      ; -24.59869    ; 24.81797    
-0.05371     ; 1.10083      ; 0.18555      ; 1.11765      ; -9.94415     ; 12.53860     ; -7.10297     ; 12.26989    
-0.05511     ; 1.10236      ; 0.23480      ; 1.12843      ; -24.17999    ; 12.88254     ; 1.24115      ; 24.23691    
-0.09186     ; 1.12170      ; 0.14795      ; 1.13514      ; -24.71085    ; -5.16647     ; 11.14792     ; 27.13227    
0.01733      ; 1.33508      ; 0.12067      ; 1.34064      ; -5.44312     ; -20.34439    ; 13.54050     ; 14.65452    
0.09937      ; 1.62933      ; 0.16730      ; 1.64091      ; -21.66031    ; -14.63211    ; 13.75732     ; 25.71163    
0.05457      ; 1.78070      ; 0.23016      ; 1.79634      ; -43.20847    ; -12.31430    ; 34.24377     ; 55.16138    
-0.10693     ; 1.80756      ; 0.41461      ; 1.85758      ; -50.85724    ; -6.57211     ; 81.44485     ; 96.03640    
-0.27075     ; 1.75391      ; 0.46851      ; 1.83548      ; -50.19928    ; -11.56662    ; 102.91824    ; 114.52165   
-0.54834     ; 1.67706      ; 0.46112      ; 1.82369      ; -44.95056    ; -38.78220    ; 139.07608    ; 146.16949   
-0.80084     ; 1.49011      ; 0.46265      ; 1.75380      ; -37.58591    ; -54.78256    ; 167.25616    ; 171.43379   
-0.88293     ; 1.28540      ; 0.49591      ; 1.63638      ; -30.29602    ; -48.56186    ; 176.01898    ; 178.61182   
-0.85559     ; 1.08636      ; 0.45953      ; 1.45719      ; -21.19675    ; -43.12622    ; 162.75513    ; 164.13322   
-0.75873     ; 0.94568      ; 0.38812      ; 1.27303      ; -18.09387    ; -49.45160    ; 141.52847    ; 142.68353   
-0.77106     ; 0.92267      ; 0.35382      ; 1.25341      ; -20.43411    ; -53.74329    ; 133.62549    ; 135.18201   
-0.83905     ; 0.87469      ; 0.41064      ; 1.27974      ; -18.17612    ; -51.94138    ; 120.75043    ; 122.11389   
-0.73682     ; 0.77893      ; 0.48022      ; 1.17484      ; -9.09180     ; -34.80453    ; 103.23975    ; 103.64223   
-0.67084     ; 0.70392      ; 0.53387      ; 1.10930      ; -11.66382    ; -15.64148    ; 86.03561     ; 86.82550    
-0.57751     ; 0.65265      ; 0.44434      ; 0.97822      ; -12.49374    ; -11.42456    ; 75.04471     ; 76.08041    
-0.51123     ; 0.63129      ; 0.29047      ; 0.86270      ; -15.97046    ; -5.78705     ; 67.93427     ; 69.78910    
