accelX       ; accelY       ; accelZ       ; totalAccel   ; gyroX        ; gyroY        ; gyroZ        ; totalGyro   
-0.99823     ; 0.55798      ; -0.07123     ; 1.14581      ; -0.11215     ; 1.14395      ; -3.24493     ; 3.29447     
-0.99628     ; 0.55475      ; -0.08044     ; 1.14315      ; 0.56824      ; 1.32339      ; -3.11035     ; 3.21013     
-0.98700     ; 0.54425      ; -0.07837     ; 1.12983      ; 3.14026      ; 2.15332      ; -3.22998     ; 4.53764     
-0.96997     ; 0.54987      ; -0.08862     ; 1.11850      ; 7.29736      ; 3.44681      ; -3.79074     ; 8.24158     
-0.96106     ; 0.57971      ; -0.08569     ; 1.12563      ; 9.45816      ; 4.37393      ; -4.10477     ; 10.32676    
-0.97461     ; 0.58917      ; -0.08453     ; 1.14199      ; 13.06198     ; 2.57202      ; -3.97018     ; 13.66473    
-0.97833     ; 0.59167      ; -0.08545     ; 1.14652      ; 12.24701     ; -1.01685     ; -3.07297     ; 12.64051    
-0.98505     ; 0.57928      ; -0.09515     ; 1.14671      ; 11.02829     ; -3.06549     ; -2.47482     ; 11.31740    
-0.98206     ; 0.56378      ; -0.10883     ; 1.13760      ; 10.68436     ; -2.98325     ; -1.66733     ; 10.82836    
-0.98157     ; 0.55621      ; -0.10095     ; 1.13271      ; 14.19846     ; -3.30475     ; -2.90100     ; 14.50246    
-0.96545     ; 0.57196      ; -0.08917     ; 1.12570      ; 15.55176     ; -3.93280     ; -2.42996     ; 15.75084    
-0.97095     ; 0.58197      ; -0.08380     ; 1.13510      ; 18.57239     ; -5.51788     ; -3.40195     ; 18.89036    
-0.97382     ; 0.58228      ; -0.08075     ; 1.13749      ; 19.21539     ; -5.21881     ; -2.92343     ; 19.44523    
-0.98004     ; 0.57642      ; -0.08289     ; 1.14000      ; 18.52753     ; -5.98145     ; -1.41312     ; 18.59028    
-0.98767     ; 0.57227      ; -0.10028     ; 1.14588      ; 20.48645     ; -9.39087     ; -1.33835     ; 20.53809    
-0.97473     ; 0.58813      ; -0.12244     ; 1.14499      ; 23.87344     ; -12.53113    ; -2.22809     ; 23.98440    
-0.98346     ; 0.60242      ; -0.13190     ; 1.16082      ; 26.54266     ; -13.63770    ; -3.46924     ; 26.77520    
-1.00177     ; 0.60626      ; -0.12567     ; 1.17766      ; 27.55203     ; -12.91992    ; -3.39447     ; 27.76697    
-1.01135     ; 0.56836      ; -0.12653     ; 1.16699      ; 26.63239     ; -10.95352    ; -2.53464     ; 26.75876    
-0.98920     ; 0.54150      ; -0.13086     ; 1.13528      ; 23.63419     ; -9.01703     ; -2.15332     ; 23.73825    
-0.98193     ; 0.53400      ; -0.13837     ; 1.12627      ; 20.83038     ; -9.42825     ; -2.51968     ; 20.98902    
-0.96918     ; 0.56360      ; -0.13531     ; 1.12927      ; 20.42664     ; -8.55347     ; -4.35898     ; 20.89416    
-0.96344     ; 0.61957      ; -0.15515     ; 1.15592      ; 21.94443     ; -5.68237     ; -5.86929     ; 22.72422    
-0.98077     ; 0.64819      ; -0.16034     ; 1.18650      ; 21.46591     ; -4.47861     ; -6.29547     ; 22.37942    
-0.98102     ; 0.60480      ; -0.12787     ; 1.15954      ; 18.72940     ; -4.53842     ; -8.14224     ; 20.43165    
-0.97107     ; 0.57581      ; -0.10724     ; 1.13403      ; 17.95181     ; -3.34961     ; -9.69742     ; 20.41174    
-0.96899     ; 0.57776      ; -0.08258     ; 1.13118      ; 18.53500     ; -1.94397     ; -11.42456    ; 21.78074    
-0.99078     ; 0.58527      ; -0.09137     ; 1.15436      ; 19.26025     ; -1.80191     ; -11.29745    ; 22.33679    
-1.00476     ; 0.60223      ; -0.12115     ; 1.17767      ; 20.95749     ; -0.82245     ; -10.39276    ; 23.40061    
-1.02936     ; 0.60114      ; -0.13153     ; 1.19927      ; 22.73697     ; 0.03738      ; -10.40024    ; 25.00992    
-1.07092     ; 0.58679      ; -0.14514     ; 1.22974      ; 27.47726     ; 0.88974      ; -8.91983     ; 28.89477    
-1.06097     ; 0.56989      ; -0.15442     ; 1.21420      ; 33.06992     ; 5.92163      ; -6.35529     ; 33.67987    
-1.03693     ; 0.50122      ; -0.16772     ; 1.16386      ; 35.32043     ; 12.87506     ; -4.84497     ; 35.65471    
-0.99481     ; 0.44128      ; -0.19421     ; 1.10549      ; 30.82687     ; 20.73318     ; -5.45807     ; 31.30945    
-0.96594     ; 0.40839      ; -0.22064     ; 1.07168      ; 27.63428     ; 30.19135     ; -6.50482     ; 28.39248    
-1.09961     ; 0.51544      ; -0.29895     ; 1.25068      ; 25.18188     ; 31.61194     ; -3.70850     ; 25.45871    
-1.16534     ; 0.64862      ; -0.48456     ; 1.41899      ; 20.87524     ; 29.69040     ; -3.74588     ; 21.21858    
-1.31110     ; 0.75146      ; -0.63623     ; 1.63965      ; 11.40213     ; 43.81409     ; -0.02991     ; 11.42691    
-1.38904     ; 0.68701      ; -0.45367     ; 1.61469      ; 14.56482     ; 69.91562     ; 8.87497      ; 17.06959    
-1.24225     ; 0.59576      ; -0.37823     ; 1.42870      ; 34.87183     ; 80.44296     ; 17.36115     ; 38.95906    
-1.15393     ; 0.56622      ; -0.41748     ; 1.35146      ; 80.00931     ; 83.48602     ; 15.17044     ; 81.43680    
-1.18591     ; 0.51257      ; 0.01538      ; 1.29204      ; 105.09399    ; 94.34982     ; 9.80209      ; 105.55137   
-0.86298     ; 0.53876      ; -0.25104     ; 1.04786      ; 145.74539    ; 62.76031     ; 9.50302      ; 146.05586   
-0.81702     ; 0.61896      ; -0.29071     ; 1.06543      ; 141.33408    ; 51.36566     ; 11.67877     ; 141.81712   
-0.72424     ; 0.45941      ; -0.25201     ; 0.89392      ; 92.88437     ; 40.77103     ; 8.28430      ; 93.25420    
-0.75677     ; 0.32758      ; -0.30225     ; 0.87827      ; 81.66168     ; 28.86047     ; 1.95145      ; 81.68565    
-0.68634     ; 0.21393      ; -0.37421     ; 0.81047      ; 82.03552     ; 26.41556     ; 0.23178      ; 82.03613    
-0.72845     ; 0.17535      ; -0.44171     ; 0.86977      ; 73.90823     ; 25.69778     ; -0.65796     ; 73.91137    
-0.74268     ; 0.17639      ; -0.50366     ; 0.91453      ; 62.68555     ; 19.61166     ; 1.70471      ; 62.70897    
-0.70807     ; 0.16638      ; -0.47357     ; 0.86794      ; 45.97488     ; 8.74039      ; 7.87308      ; 46.64443    
-0.72327     ; 0.18164      ; -0.41211     ; 0.85202      ; 18.00415     ; -0.43365     ; 12.68066     ; 22.02230    
-0.74268     ; 0.20465      ; -0.34930     ; 0.84585      ; -10.72922    ; -8.62823     ; 15.70877     ; 19.02429    
-0.75000     ; 0.23663      ; -0.39502     ; 0.88008      ; -30.01190    ; -14.14612    ; 16.65833     ; 34.32594    
-0.76129     ; 0.28052      ; -0.42761     ; 0.91712      ; -37.06253    ; -16.48636    ; 16.49384     ; 40.56792    
-0.73096     ; 0.29938      ; -0.42920     ; 0.89896      ; -51.78436    ; -22.90894    ; 16.73309     ; 54.42156    
-0.69470     ; 0.31171      ; -0.43469     ; 0.87677      ; -67.52304    ; -30.10162    ; 17.43591     ; 69.73858    
-0.85980     ; 0.34308      ; -0.33704     ; 0.98517      ; -91.08246    ; -30.14648    ; 16.39664     ; 92.54719    
-0.97968     ; 0.26971      ; -0.39709     ; 1.09096      ; -102.70889   ; -34.69986    ; 13.48816     ; 103.59112   
-0.99738     ; 0.35107      ; -0.47644     ; 1.15974      ; -137.95456   ; -49.22729    ; -1.18134     ; 137.96007   
-0.88983     ; 0.41724      ; -0.05963     ; 0.98460      ; -197.95593   ; -46.28891    ; -10.93109    ; 198.25795   
-0.68097     ; 0.38885      ; 0.21930      ; 0.81426      ; -196.04935   ; -42.51312    ; -23.33511    ; 197.43359   
-0.84564     ; 0.53040      ; 0.59711      ; 1.16317      ; -178.03772   ; -68.26324    ; -41.46637    ; 182.80363   
-1.65967     ; 0.76611      ; 0.09564      ; 1.83046      ; -64.71924    ; -97.71439    ; -35.97092    ; 74.04778    
-1.66101     ; 0.80554      ; -0.38727     ; 1.88622      ; -45.76553    ; -74.80545    ; -12.23206    ; 47.37886    
-1.35699     ; 0.60077      ; -0.98175     ; 1.77938      ; -48.93570    ; -34.77463    ; -4.90479     ; 49.18456    
-1.37195     ; 0.92041      ; -0.70233     ; 1.79518      ; -51.14136    ; -15.43213    ; -6.74408     ; 51.59233    
-1.01050     ; 1.37915      ; -0.10156     ; 1.71274      ; -33.07739    ; -33.10730    ; -18.19107    ; 37.77474    
-0.58832     ; 0.95349      ; 0.52106      ; 1.23562      ; -32.35214    ; -24.10522    ; -17.72751    ; 36.90305    
-0.79297     ; 0.78625      ; -0.04633     ; 1.11765      ; -0.30655     ; 6.28052      ; 6.87119      ; 6.92281     
-0.90704     ; 0.62506      ; -0.38306     ; 1.16626      ; 38.27377     ; -35.65689    ; 16.71066     ; 41.76744    
-0.96375     ; 0.63660      ; -0.40619     ; 1.22436      ; 37.16721     ; -36.21765    ; 17.92938     ; 41.27068    
