accelX       ; accelY       ; accelZ       ; totalAccel   ; gyroX        ; gyroY        ; gyroZ        ; totalGyro   
-0.43872     ; 0.88214      ; 0.35596      ; 1.04755      ; -10.30304    ; 4.85245      ; -3.31970     ; 10.86053    
-0.43341     ; 0.86755      ; 0.35602      ; 1.03307      ; -11.36475    ; 6.79642      ; -2.83371     ; 11.74479    
-0.43536     ; 0.85669      ; 0.37488      ; 1.03150      ; -13.00217    ; 7.70111      ; -2.60941     ; 13.28907    
-0.43512     ; 0.85760      ; 0.37921      ; 1.03374      ; -12.44141    ; 6.03378      ; -2.51968     ; 12.72293    
-0.44202     ; 0.82672      ; 0.40637      ; 1.02176      ; -11.98532    ; 2.16827      ; -2.91595     ; 12.36261    
-0.42230     ; 0.80890      ; 0.40521      ; 0.99843      ; -9.31610     ; -4.95712     ; -8.07495     ; 12.35512    
-0.39716     ; 0.82422      ; 0.37598      ; 0.98915      ; -9.95163     ; -11.82083    ; -13.33115    ; 16.65634    
-0.40594     ; 0.82629      ; 0.36914      ; 0.99188      ; -15.77606    ; -10.72174    ; -15.59662    ; 22.19958    
-0.41357     ; 0.82159      ; 0.37122      ; 0.99190      ; -15.06577    ; -11.10306    ; -16.31439    ; 22.22187    
-0.42108     ; 0.83344      ; 0.36060      ; 1.00098      ; -14.79660    ; -11.95541    ; -18.63220    ; 23.80741    
-0.42639     ; 0.82416      ; 0.37701      ; 1.00159      ; -15.37979    ; -14.16855    ; -23.64166    ; 28.21605    
-0.43359     ; 0.83411      ; 0.39374      ; 1.01920      ; -10.63950    ; -22.16125    ; -25.92209    ; 28.03300    
-0.43188     ; 0.83826      ; 0.43768      ; 1.03960      ; -11.41708    ; -27.95578    ; -28.46420    ; 30.68002    
-0.42975     ; 0.83966      ; 0.46973      ; 1.05373      ; -10.04883    ; -33.02505    ; -30.51285    ; 32.13593    
-0.43170     ; 0.84332      ; 0.49005      ; 1.06663      ; -12.78534    ; -32.75589    ; -34.36340    ; 36.67451    
-0.42944     ; 0.83295      ; 0.47961      ; 1.05274      ; -15.77606    ; -23.05847    ; -39.84390    ; 42.86157    
-0.45361     ; 0.82611      ; 0.51086      ; 1.07201      ; -17.02469    ; -16.62094    ; -40.62149    ; 44.05256    
-0.43982     ; 0.83502      ; 0.51489      ; 1.07509      ; -18.96118    ; -9.41330     ; -39.70184    ; 44.00523    
-0.46869     ; 0.83441      ; 0.44672      ; 1.05616      ; -14.41528    ; -3.10287     ; -40.76355    ; 43.24539    
-0.47021     ; 0.80450      ; 0.46332      ; 1.04067      ; -10.03387    ; 12.04514     ; -37.23450    ; 38.57115    
-0.51691     ; 0.79395      ; 0.45123      ; 1.04936      ; -12.70309    ; 13.24890     ; -35.97839    ; 38.16338    
-0.56201     ; 0.77887      ; 0.51538      ; 1.09001      ; -19.03595    ; 15.94055     ; -31.32034    ; 36.65976    
-0.57104     ; 0.75775      ; 0.56409      ; 1.10384      ; -18.78922    ; 15.17792     ; -28.83804    ; 34.42734    
-0.57825     ; 0.78949      ; 0.54883      ; 1.12200      ; -13.19656    ; 5.03189      ; -26.86417    ; 29.94088    
-0.54395     ; 0.85864      ; 0.56647      ; 1.16363      ; -7.67120     ; -1.71219     ; -26.99127    ; 28.07336    
-0.45758     ; 0.90582      ; 0.60583      ; 1.18192      ; 3.29727      ; 4.79263      ; -28.15765    ; 28.36452    
-0.47290     ; 0.90369      ; 0.58154      ; 1.17409      ; 7.53662      ; 5.18143      ; -19.40231    ; 20.83428    
-0.49011     ; 0.86859      ; 0.54340      ; 1.13576      ; 11.29745     ; 6.34781      ; -14.04892    ; 18.04880    
-0.51685     ; 0.83600      ; 0.54340      ; 1.12308      ; 11.68625     ; 7.13287      ; -11.52924    ; 16.43748    
-0.59113     ; 0.77094      ; 0.47424      ; 1.08105      ; 22.07153     ; 7.00577      ; 2.60193      ; 22.23774    
-0.56201     ; 0.74896      ; 0.42957      ; 1.03021      ; 19.04343     ; 3.09540      ; 3.40942      ; 19.36071    
-0.48975     ; 0.82538      ; 0.39362      ; 1.03732      ; 30.15396     ; -7.61887     ; -7.06558     ; 30.98169    
-0.43512     ; 0.87256      ; 0.39246      ; 1.05105      ; 17.77985     ; -15.77606    ; -8.62823     ; 19.78208    
-0.40906     ; 0.88690      ; 0.44128      ; 1.07175      ; 5.73471      ; -11.97037    ; 1.59256      ; 6.01745     
-0.47156     ; 0.85474      ; 0.42096      ; 1.06308      ; 9.03198      ; -8.00766     ; 9.86938      ; 13.40567    
-0.90826     ; 0.56750      ; 0.39465      ; 1.14138      ; 6.77399      ; -2.72903     ; 28.59879     ; 29.39557    
-1.18842     ; 0.17651      ; 0.44354      ; 1.28071      ; 2.74399      ; -0.75516     ; 70.04272     ; 70.09667    
-0.80896     ; 0.65588      ; 0.43811      ; 1.12984      ; 27.84363     ; 18.15369     ; 6.83380      ; 28.67749    
-0.63196     ; 0.90460      ; 0.48108      ; 1.20379      ; 10.03387     ; 27.94083     ; -33.61572    ; 35.09293    
-0.42902     ; 1.04431      ; 0.54987      ; 1.25578      ; 1.61499      ; 31.95587     ; -26.43799    ; 26.50785    
-0.43030     ; 0.99200      ; 0.68549      ; 1.28028      ; 12.39655     ; 33.13721     ; -25.92957    ; 28.75762    
-0.47198     ; 0.98993      ; 0.72937      ; 1.31708      ; 44.22531     ; 4.85245      ; -29.55582    ; 53.20155    
-0.57660     ; 0.94745      ; 0.65033      ; 1.28571      ; 48.57681     ; -28.65860    ; -11.17035    ; 49.85360    
-0.74969     ; 0.77533      ; 0.44885      ; 1.16818      ; 22.21359     ; -32.77832    ; 19.23782     ; 29.39624    
-0.84625     ; 0.64929      ; 0.20746      ; 1.08663      ; -3.25241     ; -25.83237    ; 25.36133     ; 25.57727    
-0.91748     ; 0.69177      ; -0.06244     ; 1.15075      ; -16.64337    ; -26.04172    ; 17.34619     ; 24.04934    
-0.63031     ; 0.99078      ; -0.21753     ; 1.19426      ; -20.86777    ; -21.60797    ; 9.53293      ; 22.96350    
-0.64502     ; 0.99725      ; -0.07361     ; 1.18995      ; -45.21973    ; 38.37845     ; 32.98767     ; 55.98218    
-0.74677     ; 0.96033      ; 0.11731      ; 1.22215      ; -56.61438    ; 88.21884     ; 79.47098     ; 97.57944    
-1.34210     ; 0.35541      ; 0.19214      ; 1.40160      ; -45.02533    ; 55.98633     ; 70.91751     ; 84.00417    
-0.95020     ; 0.83032      ; 0.22662      ; 1.28205      ; 63.36594     ; -12.33673    ; -50.37125    ; 80.95180    
-0.76086     ; 0.89154      ; 0.17139      ; 1.18454      ; 58.84247     ; -50.76004    ; -83.29163    ; 101.98395   
-0.61115     ; 0.96472      ; 0.16888      ; 1.15443      ; 70.36423     ; -37.20459    ; -85.16083    ; 110.47363   
